course_type,serial_number,title,url
Diploma,1.,"Diploma in Anesthesia",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Anesthesia.pdf
Diploma,2.,"Diploma in Clinical Pathology",https://www.nmc.org.in/wp-content/uploads/2019/09/DIPLOMA-CLINICAL-PATHOLOGY.pdf
Diploma,3.,"Diploma in DVL",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Dermatology.pdf
Diploma,4.,"Diploma in ENT",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-ENT.pdf
Diploma,5.,"Diploma in Health Education",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Health-Education.pdf
Diploma,6.,"Diploma in Immunohaematology",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Immunohaematology.pdf
Diploma,7.,"Diploma in Obstetrics & Gynaecology",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-OBGY.pdf
Diploma,8.,"Diploma in Occupational Health",https://www.nmc.org.in/wp-content/uploads/2022/06/Diploma-Occup-Health-done-02-1-18.pdf
Diploma,9.,"Diploma in Ophthalmology",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Ophthamology.pdf
Diploma,10.,"Diploma in Orthopaedics",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Orthopaedics-1.pdf
Diploma,11.,"Diploma in Paediatrics",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Paediatrics.pdf
Diploma,12.,"Diploma in Psychiatry",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Psychiatry.pdf
Diploma,12a.,"Diploma in Psychiatry (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/Diploma-in-Psychiatry-(revised).pdf
Diploma,13.,"Diploma in Physical Medicine & Rehabilitation",https://www.nmc.org.in/wp-content/uploads/2019/09/Dploma-PMR.pdf
Diploma,13a.,"Diploma in Physical Medicine & Rehabilitation (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/Diploma_in_Physical_Medicine_and_rehabilitation_(revised).pdf
Diploma,14.,"Diploma in Pulmonary medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Pulmonary-Medicine-1.pdf
Diploma,15.,"Diploma in Radio-diagnosis",https://www.nmc.org.in/wp-content/uploads/2019/09/DIPLOMA-RADIO-DIAGNOSIS.pdf
Diploma,16.,"Diploma in Radiation Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Radiation-Medicine.pdf
Diploma,17.,"Diploma in Sports Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-SPORTSMEDICINE.pdf
Diploma,18.,"Diploma in Tropical medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/Diploma-Tropical-Medicine.pdf
Diploma,19.,"Diploma in Allergy & Clinical Immunology",https://www.nmc.org.in/wp-content/uploads/2019/09/Dipoma-in-Allergy-Clinical-Immunology.pdf
MD,1.,"MD in Aerospace Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Aerospace-medicine.pdf
MD,2.,"MD in Anatomy",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Anatomy.pdf
MD,2a.,"MD Human Anatomy (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Human_Anatomy_( revised ).pdf"
MD,3.,"MD in Anesthesia",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Anesthesia.pdf
MD,4.,"MD in Biochemistry",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Biochemistry.pdf
MD,4a.,"MD in Biochemistry (revised)",https://www.nmc.org.in/wp-content/uploads/2022/12/MD-Biochemistry-revised-Guidelines.pdf
MD,5.,"MD in Community medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Community-Medicine.pdf
MD,6.,"MD in Dermatology, Venereology & Leprosy",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Dermatology.pdf
MD,7.,"MD in Family Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Family-Medicine.pdf
MD,8.,"MD in Forensic Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Forensic-Medicine.pdf
MD,9.,MD-General-Medicine,https://www.nmc.org.in/wp-content/uploads/2021/06/MD-General-Medicine.pdf
MD,9a.,"MD in General Medicine (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD-in-General-Medicine-(revised).pdf
MD,10.,"MD in Geriatrics",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Geriatrics.pdf
MD,10a.,"MD in Geriatrics (revised)",https://www.nmc.org.in/wp-content/uploads/2022/11/MD_in_Geriatrics-Medicine.pdf
MD,11.,"MD in Health Administration",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-HealthAdm.pdf
MD,12.,"MD in Hospital Administration",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Hosp-admn.pdf
MD,13.,"MD in Immunohaematology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Immunohaematology.pdf
MD,13a.,"MD in Immunohaematology ( revised )",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_in_Immunohematology_(revised).pdf
MD,14.,"MD in Microbiology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Microbiology.pdf
MD,14a,"MD Microbiology (revised)",https://www.nmc.org.in/wp-content/uploads/2022/11/MD-Microbiology-revisedGuidelines.pdf
MD,15.,"MD in Nuclear medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Nuclear-Medicine.pdf
MD,15a.,"MD in Nuclear medicine ( revised )","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Nuclear_medicine _( revised ).pdf"
MD,16.,"MD in Paediatrics",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pediatrics.pdf
MD,16a.,"MD Peadiatrics (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Peadiatrics_( revised ).pdf"
MD,17.,"MD in Pathology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pathology.pdf
MD,17a.,"MD in Pathology (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Pathology_(revised).pdf
MD,18.,"MD in Pharmacology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pharmacology.pdf
MD,18a.,"MD in Pharmacology (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD-in-Pharmacology-(revised).pdf
MD,19.,"MD in Psychiatry",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Psychiatry.pdf
MD,19a.,"MD Psychiatry (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Psychiatry_( revised ).pdf"
MD,20.,"MD in Physical Medicine & Rehabilitation",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-PMR.pdf
MD,20a.,"MD in Physical Medicine & Rehabilitation (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_in_Physical_Medicine_and_Rehabilitation_(revised).pdf
MD,21.,"MD in Physiology",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Physiology-1.pdf
MD,21a.,"MD Physiology (revised)","https://www.nmc.org.in/wp-content/uploads/2022/revised/MD_Physiology_( revised ).pdf"
MD,22.,"MD in Pulmonary medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Pulmonary-Medicine.pdf
MD,23.,"MD in Radiodiagnosis",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Radiodiagnosis.pdf
MD,24.,"MD in Radiotherapy",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Radiotherapy.pdf
MD,25.,"MD in Sports Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-sports-medicine.pdf
MD,26.,"MD in Tropical Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Tropical-Medicine.pdf
MD,27.,"MD in Family Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Family-Medicine-1.pdf
MD,28.,"MD in Palliative Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Palliative_Medicine.pdf
MD,29.,"MD in Marine Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/MD-Marine_Medicine.pdf
MD,30.,"MD in Laboratory Medicine",https://www.nmc.org.in/wp-content/uploads/2021/08/final_Guidelines_MD_Laboratory_Medicine.pdf
MD,31.,"MD in Emergency Medicine","https://www.nmc.org.in/wp-content/uploads/2024/10/NMC MD EM CURRICULUM-V6 with logo revised-1.pdf"
MS,1.,"MS in ENT",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-ENT.pdf
MS,2.,"MS in General Surgery",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Surgery.pdf
MS,3.,"MS in Obstetrics & Gynaecology",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-OBGY.pdf
MS,4.,"MS in Ophthalmology",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Ophthamology.pdf
MS,5.,"MS in Orthopaedics ",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Orthopedics.pdf
MS,5a.,"MS in Orthopaedics ( revised )","https://www.nmc.org.in/wp-content/uploads/2022/revised/MS_Orthopedics_( revised ).pdf"
MS,6.,"MS in Traumatology & Surgery",https://www.nmc.org.in/wp-content/uploads/2019/09/MS-Traumatology-surgery.pdf
DM,1.,"DM in Clinical Immunology and Rheumatology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-clinical-Immunology-and-Rheumatology.pdf
DM,2.,"DM in Critical Care Medicine",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Critical-Care-Medicine.pdf
DM,3.,"DM in Hepatology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Hepatology.pdf
DM,4.,"DM in Neuroanesthesia",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Neuroanesthesia.pdf
DM,5.,"DM in Neuroradiology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Neuroradiology.pdf
DM,6.,"DM in Organ Transplant Anaesthesia and Critical Care",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-OTACCC.pdf
DM,7.,"DM in Paediatric Oncology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-paediatric-oncology.pdf
DM,8.,"DM in Paediatric Hepatology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Pediatric-Hepatology.pdf
DM,9,"DM in Paediatric Neurology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Paediatric-Neurology.pdf
DM,10.,"DM in Virology",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Virology.pdf
DM,11.,"DM in Infectious Diseases",https://www.nmc.org.in/wp-content/uploads/2019/09/DM-Infectious-Diseases.pdf
DM,11a.,"DM in Infectious Diseases (revised)",https://www.nmc.org.in/wp-content/uploads/2022/revised/DM_in_Infectious_diseases_(revised).pdf
DM,12.,"DM in Endocrinology",https://www.nmc.org.in/wp-content/uploads/2021/08/DM_Endocrinology_Guidelines.pdf
DM,13.,"DM IN MEDICAL GENETICS",https://www.nmc.org.in/wp-content/uploads/2021/08/Guidelines_for_DM_Medical_Genetics.pdf
DM,14.,"DM in Geriatric Mental Health",https://www.nmc.org.in/wp-content/uploads/2021/08/Guidelines_DM_Geriatric_Mental_Health.pdf
DM,15.,"DM in Pediatric Nephrology",https://www.nmc.org.in/wp-content/uploads/2021/08/Guidelines_for_DM_Pediatric_Nephrology.pdf
DM,16.,"DM in Neonatology",https://www.nmc.org.in/wp-content/uploads/2022/revised/DM_in_Neonatology.pdf
DM,17.,"DM in Clinical Pharmacology","https://www.nmc.org.in/wp-content/uploads/2022/revised/DM_in_Clinical Pharmacology.pdf"
DM,18.,"DM in Neurology","https://www.nmc.org.in/wp-content/uploads/2022/revised/Guidelines_for_DM_in_Neurology _for_uploading.docx"
MCH,1,"MCh in Gynaecological Oncology",https://www.nmc.org.in/wp-content/uploads/2021/08/revised_Guidelines_in_Gynae_Oncology_post_Ac_Com_April_26_2016.pdf
MCH,2,"MCh in Hand Surgery",https://www.nmc.org.in/wp-content/uploads/2021/08/Final_Guidelines_MCh_Hand_Surgery_12.12.2017.pdf
MCH,3,"MCh in Hepato Pancreato Biliary Surgery",https://www.nmc.org.in/wp-content/uploads/2021/08/Final_Guidelines_HPB_surgery-17th_November_1.pdf
MCH,4,"MCh in Reproductive Medicine & Surgery",https://www.nmc.org.in/wp-content/uploads/2021/08/MCh_in_Reproductive_Med_Surgery_final_1st_December_2015.pdf
MCH,5,"MCh in Vascular Surgery",https://www.nmc.org.in/wp-content/uploads/2021/08/MCh_Guidelines_in_Vascular_surgery_final.pdf
MCH,6,"MCh in Surgical Gastroenterology",https://www.nmc.org.in/wp-content/uploads/2021/08/Guidelines_for_MCh_Surgical_Gastroenterology_25th_March_2021.pdf
MCH,7,"MCh in Pediatric Surgery",https://www.nmc.org.in/wp-content/uploads/2021/08/MCh_ped_Surgery_final_29_09_2021.pdf
MCH,8,"MCh in Plastic & Reconstructive Surgery",https://www.nmc.org.in/wp-content/uploads/2022/revised/MCh_Plastic_and_Reconstructive_Surgery_Guidelines.pdf
MCH,9,"MCh in Endocrine Surgery",https://www.nmc.org.in/wp-content/uploads/2025/02/MergedGuidelines_Secycovering.pdf
MCH,10,"MCh in UROLOGY",https://www.nmc.org.in/wp-content/uploads/2026/02/Curriculam.pdf
